OrderDate,Region,Sales Channel,Order Priority,Item Type,Units Sold,Unit Price,Unit Cost,Country,Total Revenue,Total Cost,Total Profit
2021-05-10,Oceanía,Tienda,Media,Laptop,76,247.19,567.1,Nueva Zelanda,18786.44,43099.6,-24313.16
2022-07-18,Asia,Tienda,Alta,Laptop,267,396.78,267.18,Singapur,105940.26,71337.06,34603.2
2022-02-04,África,Tienda,Baja,Tablet,248,1307.73,601.17,Nigeria,324317.04,149090.16,175226.87999999998
2021-12-31,Europa,Tienda,Baja,Televisor,332,203.62,448.98,Italia,67601.84,149061.36000000002,-81459.52000000002
2023-06-27,Asia,Tienda,Alta,Smartwatch,474,1460.18,68.24,Japón,692125.3200000001,32345.76,659779.56
2024-12-09,Europa,Tienda,Alta,Smartwatch,286,57.25,741.97,Francia,16373.5,212203.42,-195829.92
2020-04-11,Oceanía,Online,Media,Smartwatch,79,1004.45,296.43,Australia,79351.55,23417.97,55933.58
2022-05-23,Europa,Online,Media,Cámara,456,1291.94,922.59,Italia,589124.64,420701.04000000004,168423.59999999998
2019-11-27,Asia,Tienda,Media,Teléfono,107,1404.24,302.14,China,150253.68,32328.98,117924.7
2023-01-22,Asia,Online,Baja,Auriculares,437,258.78,996.72,Corea del Sur,113086.85999999999,435566.64,-322479.78
2024-11-05,América,Online,Media,Televisor,82,1062.4,479.06,EE.UU.,87116.8,39282.92,47833.880000000005
2019-05-11,Asia,Online,Baja,Teléfono,202,205.66,55.62,India,41543.32,11235.24,30308.08
2023-08-13,Europa,Online,Media,Televisor,392,561.29,103.98,Italia,220025.68,40760.16,179265.52
2021-02-08,América,Tienda,Baja,Auriculares,230,1111.29,109.63,EE.UU.,255596.69999999998,25214.899999999998,230381.8
2023-02-24,Asia,Tienda,Alta,Smartwatch,227,551.66,84.53,Japón,125226.81999999999,19188.31,106038.51
2022-04-30,Asia,Online,Baja,Tablet,20,504.39,289.76,India,10087.8,5795.2,4292.599999999999
2021-08-13,Oceanía,Tienda,Alta,Tablet,268,218.28,344.85,Australia,58499.04,92419.8,-33920.76
2022-03-30,América,Online,Baja,Tablet,497,146.34,137.95,México,72730.98,68561.15,4169.830000000002
2020-04-04,Oceanía,Online,Baja,Televisor,323,217.15,454.99,Australia,70139.45,146961.77,-76822.31999999999
2019-01-22,Oceanía,Tienda,Alta,Auriculares,468,1319.44,384.39,Australia,617497.92,179894.52,437603.4
2021-01-17,Oceanía,Online,Baja,Laptop,178,66.24,647.23,Nueva Zelanda,11790.72,115206.94,-103416.22
2020-04-19,África,Tienda,Baja,Laptop,382,1054.66,219.99,Nigeria,402880.12000000005,84036.18000000001,318843.94000000006
2021-12-18,Oceanía,Tienda,Media,Tablet,140,1164.51,916.57,Nueva Zelanda,163031.4,128319.8,34711.59999999999
2024-08-09,Europa,Tienda,Alta,Cámara,310,873.44,530.51,Francia,270766.4,164458.1,106308.30000000002
2021-09-02,Asia,Tienda,Alta,Televisor,472,1109.62,635.02,Corea del Sur,523740.63999999996,299729.44,224011.19999999995
2023-12-12,África,Tienda,Media,Laptop,80,995.79,68.33,Nigeria,79663.2,5466.4,74196.8
2019-07-09,Oceanía,Tienda,Media,Televisor,380,710.56,572.32,Australia,270012.8,217481.6,52531.19999999998
2020-07-16,Asia,Tienda,Alta,Auriculares,182,604.93,387.06,China,110097.26,70444.92,39652.34
2024-03-14,América,Tienda,Alta,Cámara,74,1414.93,926.45,México,104704.82,68557.3,36147.520000000004
